Class;Selected?;rule-name;Severity;ISA description;Reason ;
Agent ;Selected; rule-0.rq ;Error;  foaf:name is a required property for Agent;Check DCAT AP 1.1;
Agent ;Selected; rule-113.rq ;Error;  foaf:Agent does not exist;Verbeterde kwaliteit;
Agent ;Selected; rule-1.rq ;Error;  foaf:name should be a literal;Check DCAT AP 1.1;
Agent ;; rule-2.rq ;Warning;  dct:type is a recommended property for Agent;Verbeterde kwaliteit;
Agent ;; rule-3.rq ;;  dct:type should be a skos:Concept;;
Agent  ;; rule-98.rq ;;  dct:type has maximum cardinality of 1 for Agent;;
Catalog ;Selected; rule-112.rq ;Error;  dcat:Catalog does not exist;Verbeterde kwaliteit;
Catalog ;Selected; rule-11.rq ;Error;  dct:publisher should be a foaf:Agent;Check DCAT AP 1.1;
Catalog ;Selected; rule-12.rq ;Error;  dct:title is a required property for Catalog;Check DCAT AP 1.1;
Catalog ;Selected; rule-138.rq ;Warning;  dct:license should be a dct:LicenseDocument;Verbeterde kwaliteit;
Catalog ;Selected; rule-13.rq ;Error;  dct:title should be a literal;Check DCAT AP 1.1;
Catalog ;; rule-14.rq ;Warning;  foaf:homepage is a recommended property for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-15.rq ;Warning;  foaf:homepage has maximum cardinality of 1 for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-17.rq ;Warning;  foaf:homepage should be a foaf:Document;Verbeterde kwaliteit;
Catalog ;; rule-18.rq ;Warning;  dct:language is a recommended property for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-20.rq ;Warning;  dct:language should be a dct:LinguisticSystem;Verbeterde kwaliteit;
Catalog ;; rule-21.rq ;Warning;  dct:license is a recommended property for Catalog;Verbeterde kwaliteit;
Catalog ;Selected; rule-201.rq ;Error;  dct:license is a required property for Catalog;Verbeterde kwaliteit;
Catalog ;Selected; rule-202.rq ;Error;  dct:license for a catalog is CC0 ;Verbeterde kwaliteit;
Catalog ;Selected; rule-23.rq ;Warning;  dct:license has a maximum cardinality of 1 for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-24.rq ;Warning;  dct:issued is a recommended property for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-25.rq ;Warning;  dct:issued should be literal typed as date or dateTime;Verbeterde kwaliteit;
Catalog ;; rule-26.rq ;Warning;  dct:issued has maximum cardinality of 1 for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-30.rq ;Warning;  dcat:record should be a dcat:CatalogRecord;Verbeterde kwaliteit;
Catalog ;; rule-31.rq ;Warning;  dct:modified is a recommended property for Catalog;Verbeterde kwaliteit;
Catalog ;; rule-32.rq ;Warning;  dct:modified should be a literal typed as date or dateTime;Verbeterde kwaliteit;
Catalog ;; rule-33.rq ;Warning;  dct:modified has maximum cardinality of 1 for Catalog;Verbeterde kwaliteit;
Catalog ;Selected; rule-4.rq ;Error;  dcat:dataset is a required property for Catalog;Check DCAT AP 1.1;
Catalog ;Selected; rule-5.rq ;Error;  dcat:dataset should be a dcat:Dataset;Check DCAT AP 1.1;
Catalog ;Selected; rule-6.rq ;Error;  dct:description is a required property for Catalog;Check DCAT AP 1.1;
Catalog ;Selected; rule-7.rq ;Error;  dct:description should be a literal;Check DCAT AP 1.1;
Catalog ;Selected; rule-8.rq ;Error;  dct:publisher is a required property for Catalog;Check DCAT AP 1.1;
Catalog ;Selected; rule-209.rq ;Error;  dct:title has a language tag ;Bijlage 3;
Catalog ;Selected; rule-208.rq ;Error;  dct:description has a language tag ;Bijlage 3;
CatalogRecord ;   ; rule-119.rq ;;  foaf:primaryTopic is a required property for Catalog Record;;
CatalogRecord ;   ; rule-120.rq ;;  dct:modified is a required property for Catalog Record;;
CatalogRecord ;   ; rule-121.rq ;;  foaf:primaryTopic has a maximum cardinality of 1 for Catalog Record;;
CatalogRecord ;   ; rule-127.rq ;;  dct:issued has a maximum cardinality of 1 for dcat:Catalog Record;;
CatalogRecord ;   ; rule-142.rq ;;  foaf:primaryTopic should be a dcat:Dataset;;
CatalogRecord ;   ; rule-143.rq ;;  dct:modified should be a literal typed as date or dateTime;;
CatalogRecord ;   ; rule-146.rq ;;  dct:issued is a recommended property for Catalog Record;;
CatalogRecord ;   ; rule-147.rq ;;  dct:issued should be a literal typed as date or dateTime;;
CatalogRecord  ;; rule-122.rq ;;  dct:modified has a maximum cardinality of 1 for Catalog Record;;
CatalogRecord  ;; rule-123.rq ;;  dct:conformsTo has a maximum cardinality of 1 for Catalog Record;;
CatalogRecord  ;; rule-124.rq ;;  dct:conformsTo should be a resource;;
CatalogRecord  ;; rule-125.rq ;;  adms:status has a maximum cardinality of 1 for Catalog Record;;
CatalogRecord  ;; rule-126.rq ;;  adms:status should be a skos:Concept;;
CatalogRecord  ;; rule-128.rq ;;  dct:source should be a dcat:CatalogRecord;;
CatalogRecord  ;; rule-129.rq ;;  dct:source has a maximum cardinality of 1 for Catalog Record;;
CatalogRecord  ;; rule-131.rq ;;  dct:language should be a dct:LinguisticSystem;;
CatalogRecord  ;; rule-144.rq ;;  dct:conformsTo is a recommended property for Catalog Record;;
CatalogRecord  ;; rule-145.rq ;;  adms:status is a recommended property for Catalog Record;;
CatalogRecord  ;; rule-148.rq ;;  dct:description should be a literal;;
CatalogRecord  ;; rule-149.rq ;;  dct:title should be a literal;;
Catalog  ;; rule-139.rq ;;  dcat:themeTaxonomy should be a skos:ConceptScheme;;
Catalog  ;; rule-140.rq ;;  dct:hasPart should be a dcat:Catalog;;
Catalog  ;; rule-141.rq ;;  dct:isPartOf should be a dcat:Catalog;;
Catalog  ;; rule-27.rq ;;  dcat:themeTaxonomy is a recommended property for Catalog;;
Catalog  ;; rule-34.rq ;;  dct:rights should be a dct:RightsStatement;;
Catalog  ;; rule-35.rq ;;  dct:rights has maximum cardinality of 1 for Catalog;;
Catalog  ;; rule-36.rq ;;  dct:spatial should be a dct:Location;;
Catalog  ;; rule-99.rq ;;  dct:isPartOf has maximum cardinality of 1 for Catalog;;
Catalog  ;Selected; rule-9.rq ;Error;  dct:publisher has maximum cardinality of 1 for Catalog;Check DCAT AP 1.1;Ook selecteren als error om conform DCAT-AP 1.1 te zijn?
Category  ;; rule-167.rq ;;  skos:Concept does not exist;;
Category  ;; rule-169.rq ;;  skos:prefLabel is a required property for Category;;
Category  ;; rule-173.rq ;;  skos:prefLabel should be a literal;;
Category scheme  ;; rule-168.rq ;;  skos:ConceptScheme does not exist;;
Category scheme  ;; rule-171.rq ;;  dct:title is a required property for Category scheme;;
Category scheme  ;; rule-172.rq ;;  dct:title should be a literal;;
Checksum  ;; rule-132.rq ;;  spdx:algorithm is a required property for Checksum;;
Checksum  ;; rule-133.rq ;;  spdx:checksumValue is a required property for Checksum;;
Checksum  ;; rule-134.rq ;;  spdx:algorithm has a maximum cardinality of 1 for spdx:Checksum;;
Checksum  ;; rule-135.rq ;;  spdx:checksumValue has a maximum cardinality of 1 for spdx:Checksum;;
Checksum  ;; rule-164.rq ;;  spdx:checksumValue should be literal typed as hexBinary;;
Dataset ;Selected; rule-114.rq ;Error;  dcat:Dataset does not exist;Verbeterde kwaliteit;
Dataset ;  ; rule-115.rq ;;  dcat:theme should be a skos:Concept;;
Dataset ;Selected; rule-37.rq ;Error;  dct:description is a required property for Dataset;Check DCAT AP 1.1;
Dataset ;Selected; rule-38.rq ;Error;  dct:description should be a literal;Check DCAT AP 1.1;
Dataset ;Selected; rule-39.rq ;Error;  dct:title is a required property for Dataset;Check DCAT AP 1.1;
Dataset ;Selected; rule-40.rq ;Error;  dct:title should be a literal;Check DCAT AP 1.1;
Dataset ;Selected; rule-41.rq ;Error;  dcat:contactPoint is a required property for Dataset;Bijlage 3;
Dataset ;Selected; rule-411.rq ;Error;  vcard:hasEmail is a required property for a contactpoint of a Dataset;Bijlage 3;
Dataset ;Selected; rule-43.rq ;Error;  dcat:contactPoint should be a vcard:Kind;Bijlage 3;
Dataset ;Selected; rule-44.rq ;Error;  dcat:distribution is a required property for Dataset;Bijlage 3;
Dataset ;Selected; rule-46.rq ;Error;  dcat:distribution should be a dcat:Distribution;Bijlage 3;
Dataset ;Selected; rule-49.rq ;Error;  dct:publisher is a required property for Dataset;Bijlage 3;
Dataset ;Selected; rule-50.rq ;Error;  dct:publisher has maximum cardinality of 1 for Dataset;Bijlage 3;
Dataset ;Selected; rule-52.rq ;Error;  dct:publisher should be a foaf:Agent;Bijlage 3;
Dataset ;   ; rule-63.rq ;;  dcat:landingPage should be a foaf:Document;;
Dataset  ;; rule-100.rq ;;  dct:accessRights has maximum cardinality of 1 for Dataset;;
Dataset  ;; rule-103.rq ;;  dct:type has maximum cardinality of 1 for Dataset;;
Dataset  ;; rule-104.rq ;;  dct:type should be a skos:Concept;;
Dataset  ;; rule-150.rq ;;  dct:accessRights should be a dct:RightsStatement;;
Dataset  ;Selected; rule-204.rq ;;  dct:accessRights is required;;
Dataset  ;Selected; rule-203.rq ;;  dct:accessRights should be a _:Public;;
Dataset  ;; rule-151.rq ;;  foaf:page should be a foaf:Document;;
Dataset  ;; rule-152.rq ;;  dct:hasVersion should be a dcat:Dataset;;
Dataset  ;; rule-153.rq ;;  dct:isVersionOf should be a dcat:Dataset;;
Dataset  ;; rule-154.rq ;;  dct:provenance should be a dct:ProvenanceStatement;;
Dataset  ;; rule-155.rq ;;  dct:relation should be a resource;;
Dataset  ;; rule-156.rq ;;  adms:sample should be a dcat:Distribution;;
Dataset  ;; rule-157.rq ;;  dct:source should be a dcat:Dataset;;
Dataset  ;; rule-47.rq ;;  dcat:keyword is a recommended property for Dataset;;
Dataset  ;; rule-48.rq ;;  dcat:keyword should be a literal;;
Dataset  ;; rule-53.rq ;;  dcat:theme is a recommended property for Dataset;;
Dataset  ;; rule-56.rq ;;  dct:conformsTo should be a dct:Standard;;
Dataset  ;; rule-58.rq ;;  dct:accrualPeriodicity should be a dct:Frequency;;
Dataset  ;; rule-59.rq ;;  dct:accrualPeriodicity has maximum cardinality of 1 for Dataset;;
Dataset  ;; rule-60.rq ;;  dct:identifier should be a literal;;
Dataset  ;; rule-65.rq ;;  dct:language should be a dct:LinguisticSystem;;
Dataset  ;; rule-67.rq ;;  adms:identifier should be a adms:Identifier;;
Dataset  ;; rule-68.rq ;;  dct:issued should be literal typed as date or dateTime;;
Dataset  ;; rule-69.rq ;;  dct:issued has maximum cardinality of 1 for Dataset;;
Dataset  ;; rule-71.rq ;;  dct:spatial should be a dct:Location;;
Dataset  ;; rule-72.rq ;;  dct:temporal should be a dct:PeriodOfTime;;
Dataset  ;; rule-73.rq ;;  dct:modified should be a literal typed as date or dateTime;;
Dataset  ;; rule-74.rq ;;  dct:modified has maximum cardinality of 1 for Dataset;;
Dataset  ;; rule-75.rq ;;  owl:versionInfo should be a literal;;
Dataset  ;; rule-76.rq ;;  owl:versionInfo has maximum cardinality of 1 for Dataset;;
Dataset  ;; rule-77.rq ;;  adms:versionNotes should be literal;;
Dataset ;Selected; rule-206.rq ;Error;  dct:title has a language tag ;Bijlage 3;
Dataset ;Selected; rule-207.rq ;Error;  dct:description has a language tag ;Bijlage 3;
Distribution ;   ; rule-111.rq ;;  dct:modified has a maximum cardinality of 1 for Distribution;;
Distribution ;   ; rule-159.rq ;;  foaf:page should be a foaf:Document;;
Distribution ;Selected; rule-163.rq ;Error ;  dcat:Distribution does not exist;Verbeterde kwaliteit;
Distribution ;Selected; rule-79.rq ;Error;  dcat:accessURL is a required property for Distribution;Check DCAT AP 1.1;
Distribution ;; rule-81.rq ;Error;  dct:description is a required property for Distribution;Bijlage 3;
Distribution ;; rule-82.rq ;Error;  dct:description should be a literal;Bijlage 3;
Distribution ;Selected; rule-86.rq ;Error;  dct:license is a required property for Distribution;Bijlage 3;
Distribution ;Selected; rule-87.rq ;Error;  dct:license should be a dct:LicenseDocument;Bijlage 3;
Distribution ;Selected; rule-88.rq ;Error;  dct:license has a maximum cardinality of 1 for Distribution;Bijlage 3;
Distribution ;   ; rule-92.rq ;;  dct:issued should be literal typed as date or dateTime;;
Distribution ;Selected; rule-200.rq ;Error;  dct:title is a required property for Distribution;Bijlage 3;
Distribution ;Selected; rule-95.rq ;Error;  dct:title should be a literal;Bijlage 3;
Distribution ;Selected; rule-205.rq ;Error;  dct:title has a language tag ;Bijlage 3;
Distribution ;   ; rule-96.rq ;;  dct:modified should be a literal literal typed as date or dateTime;;
Distribution  ;; rule-105.rq ;;  spdx:checksum has a maximum cardinality of 1 for Distribution;;
Distribution  ;; rule-106.rq ;;  spdx:checksum should be a spdx:Checksum.;;
Distribution  ;; rule-107.rq ;;  dct:issued has a maximum cardinality of 1 for Distribution;;
Distribution  ;; rule-108.rq ;;  dct:rights has a maximum cardinality of 1 for Distribution;;
Distribution  ;; rule-109.rq ;;  adms:status has maximum cardinality of 1 for Distribution;;
Distribution  ;; rule-110.rq ;;  adms:status should be a skos:Concept;;
Distribution  ;; rule-158.rq ;;  dct:byteSize has a maximum cardinality of 1 for Distribution;;
Distribution  ;; rule-160.rq ;;  dct:language should be a dct:LinguisticSystem;;
Distribution  ;; rule-161.rq ;;  dct:conformsTo should be a dct:Standard;;
Distribution  ;; rule-162.rq ;;  dcat:mediaType has a maximum cardinality of 1 for Distribution;;
Distribution  ;Selected; rule-80.rq ;Warning;  dcat:accessURL should be a resource;Check DCAT AP 1.1;
Distribution  ;; rule-83.rq ;;  dct:format is a recommended property for Distribution;;
Distribution  ;; rule-84.rq ;;  dct:format should be a dct:MediaTypeOrExtent;;
Distribution  ;; rule-85.rq ;;  dct:format has a maximum cardinality of 1 for Distribution;;
Distribution  ;; rule-89.rq ;;  dct:byteSize should be a literal typed as decimal;;
Distribution  ;; rule-90.rq ;;  dcat:downloadURL should be a resource;;
Distribution  ;; rule-91.rq ;;  dcat:mediaType should be a dct:MediaTypeOrExtent;;
Distribution  ;; rule-93.rq ;;  dct:rights should be a dct:RightsStatement;;
Identifier  ;; rule-176.rq ;;  skos:notation has maximum cardinality of 1 for adms:Identifier;;
Identifier  ;; rule-66.rq ;;  skos:notation is a required property for adms:Identifier;;
Licence Document ;Selected; rule-118.rq ;Warning;  dct:type has a maximum cardinality of 1 for dct:LicenseDocument;Bijlage 3;
Licence Document ;; rule-166.rq ;;  dct:LicenseDocument does not exist;;
Licence Document ;Selected; rule-170.rq ;Error;  dct:type is a required property for Licence Document;Bijlage 3;
Licence Document  ;; rule-165.rq ;;  dct:type should be a skos:Concept;;
Period of time ;   ; rule-136.rq ;;  schema:startDate has a maximum cardinality of 1 for dct:PeriodOfTime;;
period of time ;   ; rule-137.rq ;;  schema:endDate has a maximum cardinality of 1 for dct:PeriodOfTime;;
Period of time ;   ; rule-174.rq ;;  schema:startDate should be a literal typed as date or dateTime;;
Period of time ;   ; rule-175.rq ;;  schema:endDate should be a literal typed as date or dateTime;;
